LAPS:
                             start_time     distance             total_time  max_speed  max_hr  avg_hr
number                                                                                                
1      2021-06-09 11:35:36.920000+00:00  1176.515881 0 days 00:18:18.420015        NaN     NaN     NaN
POINTS:
     latitude  longitude   elevation                             time  heart_rate  cadence  speed  lap
0   48.255024   9.021384  841.228333 2021-06-09 11:38:29.910000+00:00         NaN      NaN    NaN    1
1   48.255093   9.021335  863.639954 2021-06-09 11:38:30.913000+00:00         NaN      NaN    NaN    1
2   48.255074   9.021323  855.360962 2021-06-09 11:38:31.915000+00:00         NaN      NaN    NaN    1
3   48.255070   9.021313  852.642090 2021-06-09 11:38:32.914000+00:00         NaN      NaN    NaN    1
4   48.255058   9.021298  852.479736 2021-06-09 11:38:33.911000+00:00         NaN      NaN    NaN    1
5   48.255043   9.021283  850.454529 2021-06-09 11:38:34.915000+00:00         NaN      NaN    NaN    1
6   48.254715   9.021073  846.546509 2021-06-09 11:38:52.893000+00:00         NaN      NaN    NaN    1
7   48.254715   9.021055  843.535767 2021-06-09 11:38:54.909000+00:00         NaN      NaN    NaN    1
8   48.254711   9.021038  843.365173 2021-06-09 11:38:55.908000+00:00         NaN      NaN    NaN    1
9   48.254707   9.021020  841.330566 2021-06-09 11:38:56.917000+00:00         NaN      NaN    NaN    1
10  48.254707   9.021003  840.223572 2021-06-09 11:38:57.915000+00:00         NaN      NaN    NaN    1
11  48.254704   9.020985  837.700317 2021-06-09 11:38:58.913000+00:00         NaN      NaN    NaN    1
12  48.254700   9.020967  837.115601 2021-06-09 11:38:59.921000+00:00         NaN      NaN    NaN    1
