Beginn,Ende,Anzahl der Aktivitätsminuten,Kalorien (kcal),Distanz (m),Kardiopunkte,Kardiominuten,Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Inaktiv – Dauer (ms),Gehen – Dauer (ms)
00:00:00.000+02:00,00:15:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
00:15:00.000+02:00,00:30:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
00:30:00.000+02:00,00:45:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
00:45:00.000+02:00,01:00:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
01:00:00.000+02:00,01:15:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
01:15:00.000+02:00,01:30:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
01:30:00.000+02:00,01:45:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
01:45:00.000+02:00,02:00:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
02:00:00.000+02:00,02:15:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
02:15:00.000+02:00,02:30:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
02:30:00.000+02:00,02:45:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
02:45:00.000+02:00,03:00:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
03:00:00.000+02:00,03:15:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
03:15:00.000+02:00,03:30:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
03:30:00.000+02:00,03:45:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
03:45:00.000+02:00,04:00:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
04:00:00.000+02:00,04:15:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
04:15:00.000+02:00,04:30:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
04:30:00.000+02:00,04:45:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
04:45:00.000+02:00,05:00:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
05:00:00.000+02:00,05:15:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
05:15:00.000+02:00,05:30:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
05:30:00.000+02:00,05:45:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
05:45:00.000+02:00,06:00:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
06:00:00.000+02:00,06:15:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
06:15:00.000+02:00,06:30:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
06:30:00.000+02:00,06:45:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
06:45:00.000+02:00,07:00:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
07:00:00.000+02:00,07:15:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
07:15:00.000+02:00,07:30:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
07:30:00.000+02:00,07:45:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
07:45:00.000+02:00,08:00:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
08:00:00.000+02:00,08:15:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
08:15:00.000+02:00,08:30:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
08:30:00.000+02:00,08:45:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
08:45:00.000+02:00,09:00:00.000+02:00,,17.36458227418306,12.67829704284668,,,,,,,,,,17,,,,,
09:00:00.000+02:00,09:15:00.000+02:00,,17.36458227418306,,,,,,,,,,,,,,,,
09:15:00.000+02:00,09:30:00.000+02:00,9,51.525464972634985,700.8383410440204,6.0,6,48.20932388305664,9.02762222290039,48.21068572998047,9.033551216125488,1.1531192187142432,1.4327964782714844,0.3386419415473938,811,,,,,551126
09:30:00.000+02:00,09:45:00.000+02:00,14,73.15000054261303,983.4949240708319,4.0,4,48.208248138427734,9.03059196472168,48.21056365966797,9.034476280212402,0.8871670144264746,1.3739440441131592,0.30089348554611206,1084,,,,440058,459942
09:45:00.000+02:00,10:00:00.000+02:00,3,13.663282396864362,224.92087645428535,1.0,1,48.21029281616211,9.029683113098145,48.21057891845703,9.030576705932617,1.283146462063122,1.628679871559143,0.9999924898147583,254,,,,822,167284
